0. Точка отсчёта ,,,,,,,,,,
Паспорт проекта,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Паспорт проекта,"Инструменты:
Google Sheets / Excel / бриф / сайт / CRM",,единая стартовая карточка проекта:,,,,,,,
,"Отвечает за:
базовую идентификацию проекта и понимание, что именно фиксируется на старте",,,,,,,,,
,"Инструкция:
зафиксировать название проекта, сайт, нишу, продукт или услугу, географию, средний чек, ответственных лиц, дату начала работ",,,,,,,,,
,"Что должно быть на выходе:
единая стартовая карточка проекта",,,,,,,,,
,"минимум: 40 часов
максимум: 128 часов",,,,,,,,,
,,,,,,,,,,
"Продукт, сегмент и задача клиента",,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
"Продукт, сегмент и задача клиента","Инструменты:
бриф, интервью, CRM, сайт, отдел продаж",,"что продаём:

кому продаём:

ради какого результата:",,,,,,,
,"Отвечает за:
понимание, что продаётся, кому продаётся и какую задачу клиента это решает",,,,,,,,,
,"Инструкция:
зафиксировать основной продукт, приоритетный сегмент, основные боли клиента, ожидаемый результат клиента",,,,,,,,,
,"Что должно быть на выходе:
понятно, что продаём, кому и ради какого результата",,,,,,,,,
,,,,,,,,,,
Психологическая декомпозиция оффера,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Психологическая декомпозиция оффера,"Инструменты:
интервью, фокус-группы, анализ отзывов, конкурентный анализ, CRM                ",,"рациональное покрытие:

иррациональный драйвер:

социальный механизм:",,,,,,,
,"Отвечает за: 
понимание того, ЧТО на самом деле покупает клиент за пределами рационального объяснения",,,,,,,,,
,"Инструкция: 
1. Рациональное покрытие - зафиксировать явные обещания (цифры, характеристики, сроки, что клиент может объяснить начальнику) 

2. Иррациональный драйвер - определить скрытый мотив (какой страх снимаем / какое желание реализуем / какой статус даем / кем клиент хочет стать) 

3. Социальный механизм - описать как клиент объяснит покупку друзьям, кто референтная группа, как это повышает статус                
что говорим: 
что продаем на самом деле: 
через кого это работает:",,,,,,,,,
,"Что должно быть на выходе: 
таблица с тремя колонками для каждого оффера - рациональное покрытие, иррациональный драйвер, социальный механизм",,,,,,,,,
,,,,,,,,,,
Текущее позиционирование и УТП,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Текущее позиционирование и УТП,"Инструменты:
сайт, посадочные, презентации, рекламные материалы, скрипты продаж",,"стартовая формулировка: 

позиционирования: 

УТП:",,,,,,,
,"Отвечает за:
фиксацию того, как проект описывает себя и почему клиент должен выбрать его сейчас",,,,,,,,,
,"Инструкция:
зафиксировать текущее позиционирование, главное УТП, ключевые отличия, основные обещания бренда",,,,,,,,,
,"Что должно быть на выходе:
стартовая формулировка позиционирования и УТП для будущего сравнения",,,,,,,,,
,,,,,,,,,,
Текущие офферы и CTA,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Текущие офферы и CTA,"Инструменты:
сайт, посадочные страницы, объявления, баннеры, мессенджеры",,"список текущих офферов:

список текущих CTA:",,,,,,,
